Instrument,Date,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score
AAON.OQ,2019-12-31T00:00:00Z,43.1888489,43.1888489,51.50273733,37.08888993,41.20990678,100,46.1852861,60.02824859,49.70326409
AAON.OQ,2020-12-31T00:00:00Z,46.77990898,46.77990898,68.64917868,41.77072618,27.10438057,100,46.11231102,74.11894273,75.54744526
AAP.N,2016-01-02T00:00:00Z,30.01584843,30.01584843,14.1301013,38.98568351,27.99223856,100,22.04301075,7.865168539,13.63636364
AAP.N,2016-12-31T00:00:00Z,33.36983385,33.36983385,14.77369281,38.12973618,37.379124,100,23.5,8.854166667,12.74509804
AAP.N,2017-12-30T00:00:00Z,54.88474638,54.88474638,29.95001689,57.90055771,64.00120965,100,23.33333333,49.04761905,9.574468085
AAP.N,2018-12-29T00:00:00Z,62.83776283,62.83776283,30.87457205,72.60965719,67.96169782,100,22.64957265,51.2605042,10.57692308
AAP.N,2019-12-28T00:00:00Z,43.02726307,43.02726307,26.00711023,62.79332656,29.57504672,100,14.80263158,47.2027972,8.219178082
AAP.N,2021-01-02T00:00:00Z,57.25658977,57.25658977,27.06279393,73.78005817,53.99407835,100,12.21590909,52.03488372,8.163265306
AAP.N,2022-01-01T00:00:00Z,65.71535334,65.71535334,29.61714708,70.92773199,77.97292465,100,10.48780488,60.85858586,6.666666667
AAPL.OQ,2015-09-26T00:00:00Z,29.88511183,54.2146681,51.78764798,43.01018607,76.21851116,5.555555556,92.22222222,62.19512195,36.84210526
AAPL.OQ,2016-09-24T00:00:00Z,37.59721484,61.55806605,52.83021135,52.60151937,84.80378654,13.63636364,90.42553191,61.62790698,39.28571429
AAPL.OQ,2017-09-30T00:00:00Z,40.98341131,68.33045898,55.60510638,64.55299195,85.67140235,13.63636364,97,67.0212766,40
AAPL.OQ,2018-09-29T00:00:00Z,38.03049175,71.89431684,57.33809099,68.7210735,89.68345568,4.166666667,99.15254237,72.80701754,40
AAPL.OQ,2019-09-28T00:00:00Z,37.54933084,70.55320713,59.10628019,67.35786604,85.79067119,4.545454545,99.27536232,87.5,37.03703704
AAPL.OQ,2020-09-26T00:00:00Z,39.84702309,76.75286971,62.02320563,77.78156281,87.19308708,2.941176471,98.17073171,93.37349398,39.84375
AAPL.OQ,2021-09-25T00:00:00Z,41.18262514,79.5874725,63.95118865,78.48713317,94.57998084,2.777777778,98.36956522,96.15384615,41.89189189
AAT.N,2015-12-31T00:00:00Z,27.94287892,27.94287892,25.66857143,45.48724496,14.12402733,100,46.4,10.4,0
AAT.N,2016-12-31T00:00:00Z,32.8322391,32.8322391,22.89272466,57.29623089,21.45936923,100,44.25675676,6.209150327,0
AAT.N,2017-12-31T00:00:00Z,41.03486523,41.03486523,30.55320576,53.66305654,41.40699942,100,41.76829268,26.73796791,0
AAT.N,2018-12-31T00:00:00Z,45.13061567,45.13061567,35.42208857,55.08174975,47.1142214,100,40.57971014,39.36651584,0
AAT.N,2019-12-31T00:00:00Z,55.27930887,55.27930887,57.68802637,52.75779582,54.83655903,100,65.64748201,57.56013746,26.32978723
AAT.N,2020-12-31T00:00:00Z,52.21715289,52.21715289,50.05901062,47.66968171,59.0045557,100,44.08945687,62.83987915,26.00896861
AAT.N,2021-12-31T00:00:00Z,64.30687318,64.30687318,73.8964449,47.18032816,69.19896232,100,76.1682243,84.71428571,24.24242424
AAWW.OQ,2015-12-31T00:00:00Z,,,,,,,,,
AAWW.OQ,2016-12-31T00:00:00Z,18.78136887,18.78136887,1.746031746,19.79996242,37.89960182,100,5.714285714,0,0
AAWW.OQ,2017-12-31T00:00:00Z,21.11686488,21.11686488,1.425925926,21.53019545,44.20866187,100,4.666666667,0,0
AAWW.OQ,2018-12-31T00:00:00Z,25.34093102,25.34093102,2.282886335,24.1617357,54.54353855,100,7.471264368,0,0
AAWW.OQ,2019-12-31T00:00:00Z,30.76503381,30.76503381,19.47721077,35.04823103,38.74226508,44.44444444,27.23214286,30.89430894,0
AAWW.OQ,2020-12-31T00:00:00Z,28.44339769,28.44339769,21.11194528,24.11118844,42.8730126,100,35.55555556,28.37837838,0
AAWW.OQ,2021-12-31T00:00:00Z,31.14616265,31.14616265,30.56165171,25.45593212,39.24487548,100,45.33333333,46.27329193,0
AB.N,2019-12-31T00:00:00Z,31.74133183,31.74133183,16.84655479,63.50364889,9.388252757,100,33.9673913,41.84210526,0
AB.N,2020-12-31T00:00:00Z,34.70239694,34.70239694,17.13365151,67.97435293,11.87670219,100,35.36036036,41.74107143,0
AB.N,,,,,,,,,,
AB.N,,,,,,,,,,
ABBV.N,2015-12-31T00:00:00Z,67.86291679,67.86291679,60.59773184,80.50492655,54.29793782,100,77.71084337,54.375,22.22222222
ABBV.N,2016-12-31T00:00:00Z,75.1160253,75.1160253,65.49063296,88.75696585,61.78901852,93.75,82.96703297,61.23595506,20
ABBV.N,2017-12-31T00:00:00Z,79.43753659,79.43753659,61.04407979,90.8241324,75.90943671,88.63636364,77.92792793,57.87037037,14.28571429
ABBV.N,2018-12-31T00:00:00Z,60.9198396,75.41110777,66.95088,91.45570261,57.63751917,46.42857143,81.78571429,70.22058824,7.692307692
ABBV.N,2019-12-31T00:00:00Z,64.28256793,78.56513586,70.43427884,90.73688598,66.33775999,50,84.34065934,75.68306011,8.333333333
ABBV.N,2020-12-31T00:00:00Z,42.28424568,81.44349135,73.53103851,95.23238464,66.63922179,3.125,84.67336683,82.05741627,10.81081081
ABBV.N,2021-12-31T00:00:00Z,51.54754674,82.26176016,72.78414051,95.29832163,69.7295977,20.83333333,90.92827004,73.92241379,8.888888889
ABC.N,2015-09-30T00:00:00Z,49.04358355,49.04358355,5.466472303,42.37511261,78.15972222,61.11111111,0,15.30612245,0
ABC.N,2016-09-30T00:00:00Z,56.25481243,56.25481243,17.58754305,50.17877692,82.29965156,100,29.10447761,25.96153846,0
ABC.N,2017-09-30T00:00:00Z,37.93602392,55.87204783,21.76020408,51.31562337,77.79020046,20,49.375,21.42857143,0
ABC.N,2018-09-30T00:00:00Z,33.25212837,64.23152946,49.80567829,51.37857774,87.88664644,2.272727273,81.95876289,73.88888889,0
ABC.N,2019-09-30T00:00:00Z,34.11877535,66.51341276,54.93525279,52.60123109,90.23425995,1.724137931,85.6557377,85.29411765,0
ABC.N,2020-09-30T00:00:00Z,41.95572371,75.95690197,59.1722973,74.16569751,86.1481367,7.954545455,88.4375,94.93243243,0
ABC.N,2021-09-30T00:00:00Z,44.47792035,77.11373543,55.35008731,73.55444969,91.95649745,11.84210526,76.0989011,94.1011236,0
ABCB.OQ,2014-12-31T00:00:00Z,,,,,,,,,
ABCB.OQ,2015-12-31T00:00:00Z,43.81727795,43.81727795,18.2821119,40.15431986,66.39093137,100,0,0,0
ABCB.OQ,2016-12-31T00:00:00Z,39.55706507,39.55706507,21.15270351,39.29607554,55.73947668,100,0,0,0
ABCB.OQ,2017-12-31T00:00:00Z,43.48123588,43.48123588,0,43.58126241,60.7359159,100,0,0,0
ABCB.OQ,2018-12-31T00:00:00Z,37.25664616,37.25664616,0,39.87294141,48.55463117,100,0,0,0
ABCB.OQ,2019-12-31T00:00:00Z,35.5221246,35.5221246,0,37.89011824,46.46840543,100,0,0,0
ABCB.OQ,2020-12-31T00:00:00Z,44.32060997,44.32060997,1.64203038,42.7089359,63.61257054,100,6.699029126,3.153153153,0
ABEO.OQ,2017-12-31T00:00:00Z,31.69328217,31.69328217,0,49.9566818,36.18215061,100,0,0,0
ABEO.OQ,2018-12-31T00:00:00Z,37.86094121,37.86094121,0,77.31599276,27.15363283,100,0,0,0
ABEO.OQ,2019-12-31T00:00:00Z,36.11992427,36.11992427,0,70.45189337,28.91963528,56.66666667,0,0,0
ABEO.OQ,2020-12-31T00:00:00Z,35.63570275,35.63570275,0,67.86943775,30.0243238,100,0,0,0
ABEO.OQ,2021-12-31T00:00:00Z,34.08179523,34.08179523,0,65.02410357,28.61111111,100,0,0,0
ABEO.OQ,,,,,,,,,,
ABG.N,2015-12-31T00:00:00Z,,,,,,,,,
ABG.N,2016-12-31T00:00:00Z,32.23723135,32.23723135,0,27.26218652,53.88367463,100,0,0,0
ABG.N,2017-12-31T00:00:00Z,30.99674175,30.99674175,0,28.06757451,49.74974289,100,0,0,0
ABG.N,2018-12-31T00:00:00Z,38.8003651,38.8003651,0,27.96521739,70.23960067,100,0,0,0
ABG.N,2019-12-31T00:00:00Z,39.85844103,39.85844103,0,26.21409214,74.94804919,100,0,0,0
ABG.N,2020-12-31T00:00:00Z,43.54351129,43.54351129,5.681818182,29.47637408,78.1045103,100,17.04545455,0,0
ABG.N,2021-12-31T00:00:00Z,39.78824235,39.78824235,5.447154472,29.21398046,68.70796616,100,16.34146341,0,0
ABM.N,2014-10-31T00:00:00Z,,,,,,,,,
ABM.N,2015-10-31T00:00:00Z,44.86866144,44.86866144,28.32493017,35.49547197,68.64498174,100,16.95652174,30.53097345,39.81481481
ABM.N,2016-10-31T00:00:00Z,53.37341578,53.37341578,33.23477479,40.7399357,83.61324458,100,29.47761194,33.203125,38.28125
ABM.N,2017-10-31T00:00:00Z,65.85985094,65.85985094,70.13131662,57.29863796,73.80915267,100,64.81481481,61.78571429,86.95652174
ABM.N,2018-10-31T00:00:00Z,63.05333999,63.05333999,70.11989133,51.31987578,73.09951388,100,64.0625,63.82352941,85.54216867
ABM.N,2019-10-31T00:00:00Z,65.20100649,65.20100649,68.75420645,54.89973514,75.87650214,100,59.02061856,63.3640553,88.02083333
