,std,std,std,std,std,std,std,std,std,std,mean_change,mean_change,mean_change,mean_change,mean_change,mean_change,std_change,std_change,std_change,std_change,std_change,std_change,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%)
,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%),"D(ESG, VaR)",ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTX.OQ,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,-1.3620296750086032,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,4.1320064191634945e-16,0.0,0.0,0.0,-3.831464757888703e-17,0.0,1.1417408438304152e-16,-6.2494835470297e-17,-9.307916120080616e-16
ACA.N,2.0825234358674196,1.7513886007513333,1.2792578772047825,1.2649640034182255,1.0573287970315446,0.2767720107806239,0.5976852410752368,1.0194314203038728,0.8486736174151489,1.199590966196299,2.107139902630367,1.0562465711068818,1.1178327145726725,1.0056200988930553,-0.6386453779783429,0.2329519903747231,2.107139902630367,1.0562465711068818,1.1178327145726725,1.0056200988930553,-0.6386453779783429,0.2329519903747231,-0.183109343474305,0.35273162628329063,-0.07959575918588817,-0.6850125429682009,0.35939125208099193,-0.9664801408182259,-0.746169093559344,0.4800379943873429,1.1573417220671072
ACCO.N,-0.5159019441602383,-0.29862740969728163,-0.4942594339128162,-0.3481823316734374,-0.3388615944369665,3.88764669436371,3.006852780630795,1.9494812330209623,2.7956716477009294,4.916080755585012,-0.47980798974148625,-0.43649250644186877,-0.7046116297253153,-0.03157235711340569,-2.2093568676746393,3.4437802549222707,-0.47980798974148625,-0.43649250644186877,-0.7046116297253153,-0.03157235711340569,-2.2093568676746393,3.4437802549222707,1.6193081471897786,1.2418920035538346,1.3669621317509721,1.407405665108517,-0.6135280367343972,0.3985799804845169,0.0459862522263876,0.28976964701898045,-0.7016777316909738
ACHC.OQ,-1.004501015625414,-0.7255154877580823,-0.8850163110319403,-1.0787708070230828,-0.29970301024504575,-0.6636829148980475,0.8587676944075215,0.11873544897043545,-0.6642744441864082,-1.3620296750086032,-0.7290446640217318,-0.7068236730473614,-0.5337976527327432,-0.3975299709090661,-0.4776977531664285,0.773432925383394,-0.7290446640217318,-0.7068236730473614,-0.5337976527327432,-0.3975299709090661,-0.4776977531664285,0.773432925383394,0.2734351096690799,-0.7080098794843603,0.27069924657034733,0.600083886376217,0.1739433965917324,-1.599042042858962,-1.7923748439921745,0.06245901065106907,1.6531667037166076
ACI.N,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,1.570924163737203e-16,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,4.1320064191634945e-16,0.0,0.0,0.0,-3.831464757888703e-17,0.0,1.1417408438304152e-16,-6.2494835470297e-17,-9.307916120080616e-16
ACIW.OQ,-0.7307508884004871,-0.763934359654364,-0.7611383715831274,-0.7957272073399702,-0.8267468797239822,-1.0365172927599178,2.101083149433506,0.7433592069185863,-0.9375047452181858,-1.3620296750086032,-0.33968109584634154,-0.6205385633075493,-0.40150212918864964,-0.05745242348972252,0.27031318329958964,0.26576196646796046,-0.33968109584634154,-0.6205385633075493,-0.40150212918864964,-0.05745242348972252,0.27031318329958964,0.26576196646796046,0.735769927544936,-0.5011680819361254,0.588006986364917,0.6358868333837104,0.1497373877674387,0.0314464390179431,-0.7375068486121827,-0.1450647794195044,-0.12047672918698964
ACLS.OQ,0.9826602416302962,2.035931992578143,-0.04850526379752316,-0.35106049312594384,-0.01909409450906544,0.8435131334547907,1.0184444687230625,1.1309643904572264,0.48664338765103854,-0.297400969314015,0.2774239834677207,0.718937268792968,-0.18563417792479703,-0.11547027690768072,-0.8451747585085354,0.8166142654935757,0.2774239834677207,0.718937268792968,-0.18563417792479703,-0.11547027690768072,-0.8451747585085354,0.8166142654935757,1.0916512831052747,0.6913143956973071,1.2742225261101772,0.8599409105467655,-0.16250855899232158,0.21738466142465482,1.6141192157660424,-1.5312938660423858,-0.08613729513216649
ACM.N,0.20832180335409775,-0.3412817670464139,0.08685134083811251,1.9668252291560984,0.2936624011441039,-0.1199490055792659,-0.47833335107981517,-0.24687670698343228,-1.067864413787099,-0.7162832294475905,-0.2892381244829621,-0.4754613168267011,-0.806413069884901,0.40731745220670773,0.5856959114442614,-0.14896727562610868,-0.2892381244829621,-0.4754613168267011,-0.806413069884901,0.40731745220670773,0.5856959114442614,-0.14896727562610868,0.2351894162091305,1.185298767342294,0.0034104954890719808,-0.8394357246791071,1.4799669899287657,0.04765571985003392,-1.0839701579176324,0.9031797965806954,0.15282811976655364
ACMR.OQ,-0.27102813549052207,-0.5978973872746224,-0.3747321403342819,1.4281593756292632,-0.27847196612952135,-0.18505213187012207,0.2983205650604686,-0.18003005159705762,-0.15216383269651487,0.9491490629319246,-0.815600559317807,-0.48752473694349446,0.7280908485905568,-0.8704672339644168,0.09349334481957049,-0.33761750819795483,-0.815600559317807,-0.48752473694349446,0.7280908485905568,-0.8704672339644168,0.09349334481957049,-0.33761750819795483,-1.8647323285945958,-0.733499785610858,-1.9853196199349905,-1.752206532536522,-0.7248275835909954,-0.5929675413423074,0.35713254471784,0.12312494290019536,0.39821111584917035
ACR.N,1.7019107582972113,0.9885390965445625,-0.6306837548489144,2.4048928094681536,0.06916585687672407,2.023343577274293,1.159266914670261,3.6992909236919096,2.001494293496732,-1.3620296750086032,4.527134867194716,2.467104314301622,-0.05496825408582826,3.639810827484976,4.0711491066559855,-3.899706912333708,4.527134867194716,2.467104314301622,-0.05496825408582826,3.639810827484976,4.0711491066559855,-3.899706912333708,-1.348734783441282,-1.0080207187912644,-0.7633630034317209,-1.2083371055245515,-0.8609959701751768,1.4769610600815992,3.265212639174947,-2.4423674112695304,-1.221074585503581
ACRE.N,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,1.570924163737203e-16,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,-0.39767553148449053,0.18471152291781137,-0.8041338578062321,-0.3000203280425062,3.091156801632646,0.0829469101825778,-0.2954348081651138,1.4673628690038745,1.0384969433017197
ACTG.OQ,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,1.570924163737203e-16,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,4.1320064191634945e-16,0.0,0.0,0.0,-3.831464757888703e-17,0.0,1.1417408438304152e-16,-6.2494835470297e-17,-9.307916120080616e-16
ADBE.OQ,0.40074862971355474,-0.5955883495566057,-0.8144443051497948,1.0527915716239908,-0.48731136656078067,-0.6159030541959798,-0.10298797476648253,-0.0797950952401882,-0.5304896460975664,-0.4677106078479413,-0.7263964931841982,-0.5483713864768592,-0.5557879960984938,-0.422769957047139,-0.16145539612840984,0.37140556294653543,-0.7263964931841982,-0.5483713864768592,-0.5557879960984938,-0.422769957047139,-0.16145539612840984,0.37140556294653543,1.8070899410128494,1.8199151058352356,1.4720796580804452,1.2530220836997095,-0.48987582064251817,-1.6707119566879036,0.03803487397785551,-0.6867630725346671,1.2041600061207587
ADC.N,0.03224594079260678,-0.6103121155469426,0.5829768656171663,0.5274063570648734,0.4968416881680814,-0.30500060080700786,2.117542224568098,2.7062348637700375,0.13608813385039026,-0.5635464828530751,-0.4833986888106013,-0.323862089281047,0.3450817250990622,-0.9671144551098095,0.271841105620271,-0.4097072086153885,-0.4833986888106013,-0.323862089281047,0.3450817250990622,-0.9671144551098095,0.271841105620271,-0.4097072086153885,-1.3010305598908785,-0.9518777239546352,-0.3675461114265512,-1.517041985027332,-1.6877483997912168,0.31449310723029456,-1.0307816317673024,0.21640892916397905,-0.758351001859917
ADES.OQ,0.11135219890125252,-0.7522264447185008,-0.7177723432328896,1.371729355013456,-0.4466064723827039,0.3598655219571126,0.11572583324919367,-0.10560015635490996,0.15377151889691645,2.0130896909885263,0.43090237907948276,-0.619076362431164,-0.6113106364393195,0.7096191777675093,0.1795163291755929,-0.7317591970390298,0.43090237907948276,-0.619076362431164,-0.6113106364393195,0.7096191777675093,0.1795163291755929,-0.7317591970390298,-0.8283560722465009,-0.801569696177845,-1.6575869993846957,0.5464567431338907,0.3706873887715006,-0.9477660620646735,0.006779164629872028,-0.015013493260145115,0.8678910357115683
ADI.OQ,-0.5090274398948044,0.09936967607221064,0.5094049187395862,-0.34512419421905366,-0.4208656627475449,0.07756130729461692,0.4075108961808092,0.038892988628099597,-0.581749389810541,0.036006942129515725,-0.5851982844621487,-0.6642656954460129,0.0006382710077754005,-0.47818385955053616,-0.08950228736799828,-0.09199976379059092,-0.5851982844621487,-0.6642656954460129,0.0006382710077754005,-0.47818385955053616,-0.08950228736799828,-0.09199976379059092,1.5121064348586128,2.0602224544883097,0.8284127612934206,0.9782706810648505,0.012665826494309614,-0.6856836606285568,1.179739716525839,-1.6411832698907878,0.9831641335503023
ADM.N,-0.3121949834660473,-0.510025649091067,0.11994043196839109,-0.840195838451992,0.26284162051235527,0.4868222002927588,1.0310501892049995,0.6232707601133098,0.2602536815621901,-0.08812121846716789,-0.5652217370558884,-0.5654498397106977,-0.34080778460539946,-0.37712619450688284,-0.013670076153196802,-0.0891879798903234,-0.5652217370558884,-0.5654498397106977,-0.34080778460539946,-0.37712619450688284,-0.013670076153196802,-0.0891879798903234,2.1627618312766943,1.8964459795583941,1.8658992592406456,1.7147891369429,-1.648447724558125,0.046793879654338136,-0.8443508696812352,0.10175214618473265,-0.6197199101742217
ADP.OQ,-0.5972427312924331,-0.6735840001386557,-0.8610503202064371,-0.5037598926968863,1.4461031586229558,-0.4145149048524759,-0.6898340952585232,-0.5055250785181942,0.21500922027992178,-0.6307540576101777,-0.74945455306049,-0.6302121776995655,-0.5581430914757458,-0.4169785114782197,0.6576126515870006,-0.40346639892450237,-0.74945455306049,-0.6302121776995655,-0.5581430914757458,-0.4169785114782197,0.6576126515870006,-0.40346639892450237,2.0156470061733502,0.4324560209677913,1.9086536049104355,1.7864792294628062,1.142787833708881,-0.026035017908859766,-0.304488481207432,-0.675335670415911,0.5632036753739503
ADPT.OQ,-0.867348278033361,-0.7046028967681714,-0.5190767941917817,-0.4432028117928968,-0.17817382244835503,-1.1686585207494917,-0.38086087760570375,-0.7911349033770937,-1.0189695123247153,-1.3620296750086032,-0.38321405050223484,-0.6877486697147335,-1.0765551745895987,0.68762779479349,0.08335613484261813,0.21882057666997187,-0.38321405050223484,-0.6877486697147335,-1.0765551745895987,0.68762779479349,0.08335613484261813,0.21882057666997187,-0.5534246303446798,-0.3356759335881194,0.1393237640064708,-1.1030926114559547,0.6554128303205742,-0.7318554552957577,-0.40204335591113843,-0.37982996481150283,0.8609662148197987
ADSK.OQ,-0.5864405369074561,-0.34011797348858147,-0.7859626862494709,-0.39912911202575496,0.39614758270156775,-0.24906111856281316,-0.5642840400518897,-0.5821876087596407,-0.5293727098643068,-0.3527529959385356,-0.7623207907792761,-0.4968157760922724,-0.5224772750190255,-0.5024138600816155,0.1372308862584912,-0.28904771178887195,-0.7623207907792761,-0.4968157760922724,-0.5224772750190255,-0.5024138600816155,0.1372308862584912,-0.28904771178887195,2.032640840925912,1.6481784228795295,1.420970160450226,1.780157081538435,0.24776984376085867,0.9149702941465128,-0.9188497073582903,-0.46679877384775026,-0.660299067885814
ADT.N,-0.5705130128477749,-0.7128928175296165,-0.4233474900139912,-0.7561211118675599,0.5860079722650509,-0.6496397974032961,-0.671979680376198,-0.43767201784761955,0.19966299573900745,-1.3620296750086032,0.6607741034406194,-0.4395298561349409,0.21632613755914373,2.9074094259598477,0.6644982812544775,-1.6899892098093743,0.6607741034406194,-0.4395298561349409,0.21632613755914373,2.9074094259598477,0.6644982812544775,-1.6899892098093743,-1.324810939289664,-0.6432835796020993,-0.3225887821475572,-2.273919224196407,0.7575133901287855,-0.6672743978198339,-1.132739147950118,0.8920093450075365,1.0404454232745115
ADTN.OQ,-0.48227459996275346,-0.7643894312963123,-0.3658958049738231,0.10591586070575433,-0.09186301542851777,-0.5214958454551175,-0.008338792650000525,0.8526420405449744,-0.38299182615363303,0.7479972959564958,-0.5631173553127891,-0.5878772140327875,-0.3686944999922776,-0.3105255072268809,-0.2635633044604708,0.3484185266083289,-0.5631173553127891,-0.5878772140327875,-0.3686944999922776,-0.3105255072268809,-0.2635633044604708,0.3484185266083289,0.20214592287647237,0.3438882895423577,0.18412648890646038,-0.031952470424884014,0.20775914485319716,-0.6506777578804601,-0.8661497472214393,0.27198105418602336,0.5095942566671212
ADUS.OQ,-0.5862440079960048,-0.048776051150605966,0.6323410180425991,-0.005839201688992853,-0.23449362782188662,-0.24570854726489375,-1.1061209510669894,-1.2624588170352178,-0.3266085856110518,-1.3620296750086032,0.2982817316665402,1.3435517959919454,2.2537954861875567,-2.3362272585310175,-0.8452098148818058,1.1493121822867325,0.2982817316665402,1.3435517959919454,2.2537954861875567,-2.3362272585310175,-0.8452098148818058,1.1493121822867325,-1.1110020597599808,-1.0700847768766477,-1.0541623574676153,-0.8889271740966923,0.16306098833614877,-1.8293801884327654,-0.028648792886765202,1.7152965698602969,1.4754088886395311
