DATE,LREM64TTUSM156S
1994/11/1,72.61353699
1994/12/1,72.68047885
1995/1/1,72.57989072
1995/2/1,72.73153777
1995/3/1,72.70094924
1995/4/1,72.59817108
1995/5/1,72.40631081
1995/6/1,72.4423562
1995/7/1,72.54562542
1995/8/1,72.47587304
1995/9/1,72.48834402
1995/10/1,72.5671515
1995/11/1,72.48383282
1995/12/1,72.35271162
1996/1/1,72.33831615
1996/2/1,72.51873944
1996/3/1,72.59420612
1996/4/1,72.5585367
1996/5/1,72.71016411
1996/6/1,72.82915399
1996/7/1,72.99266193
1996/8/1,73.05115145
1996/9/1,73.16889775
1996/10/1,73.29114186
1996/11/1,73.15568552
1996/12/1,73.11103473
1997/1/1,73.04410162
1997/2/1,73.07365377
1997/3/1,73.35445297
1997/4/1,73.36526409
1997/5/1,73.49513187
1997/6/1,73.45475113
1997/7/1,73.67430029
1997/8/1,73.75519196
1997/9/1,73.64778682
1997/10/1,73.66186178
1997/11/1,73.81060892
1997/12/1,73.74764127
1998/1/1,73.70539115
1998/2/1,73.77606787
1998/3/1,73.79851291
1998/4/1,73.86975421
1998/5/1,73.88095948
1998/6/1,73.80459214
1998/7/1,73.73345238
1998/8/1,73.80211882
1998/9/1,73.92874329
1998/10/1,73.86399754
1998/11/1,73.92200325
1998/12/1,74.05558966
1999/1/1,74.0839771
1999/2/1,73.93991352
1999/3/1,73.93783385
1999/4/1,73.81451974
1999/5/1,73.97760677
1999/6/1,73.9015169
1999/7/1,73.87657529
1999/8/1,73.91149216
1999/9/1,73.82634994
1999/10/1,73.93596105
1999/11/1,74.0380778
1999/12/1,74.11450143
2000/1/1,74.26262004
2000/2/1,74.28217081
2000/3/1,74.24175557
2000/4/1,74.50717726
2000/5/1,74.07980095
2000/6/1,74.21308399
2000/7/1,73.82675022
2000/8/1,73.87852591
2000/9/1,73.86226528
2000/10/1,73.88377244
2000/11/1,73.92766802
2000/12/1,74.11709881
2001/1/1,73.97485901
2001/2/1,73.88104443
2001/3/1,73.91972422
2001/4/1,73.55154697
2001/5/1,73.39696827
2001/6/1,73.14275739
2001/7/1,73.12665785
2001/8/1,72.57661215
2001/9/1,72.79299164
2001/10/1,72.46330045
2001/11/1,72.30528449
2001/12/1,72.22532142
2002/1/1,72.01693126
2002/2/1,72.33187132
2002/3/1,72.13178836
2002/4/1,71.91464679
2002/5/1,72.02662651
2002/6/1,71.84104517
2002/7/1,71.74848073
2002/8/1,71.88990982
2002/9/1,72.07596796
2002/10/1,71.88990541
2002/11/1,71.54194797
2002/12/1,71.57003091
2003/1/1,71.5902671
2003/2/1,71.52034253
2003/3/1,71.39620245
2003/4/1,71.37857866
2003/5/1,71.21341144
2003/6/1,71.21531707
2003/7/1,70.99024589
2003/8/1,71.00301335
2003/9/1,70.91938645
2003/10/1,71.05633073
2003/11/1,71.13722044
2003/12/1,71.11809037
2004/1/1,71.27790121
2004/2/1,71.2085516
